"","v1.6.1-rc1.self.time","r744c6c8.self.time","rdd94866.self.time","r38a4c36.self.time","r8f13a5a.self.time","r9e90977.self.time","v1.6.1-rc1.self.pct","r744c6c8.self.pct","rdd94866.self.pct","r38a4c36.self.pct","r8f13a5a.self.pct","r9e90977.self.pct","v1.6.1-rc1.total.time","r744c6c8.total.time","rdd94866.total.time","r38a4c36.total.time","r8f13a5a.total.time","r9e90977.total.time","v1.6.1-rc1.total.pct","r744c6c8.total.pct","rdd94866.total.pct","r38a4c36.total.pct","r8f13a5a.total.pct","r9e90977.total.pct","v1.6.1-rc1.mem.total","r744c6c8.mem.total","rdd94866.mem.total","r38a4c36.mem.total","r8f13a5a.mem.total","r9e90977.mem.total"
"""lapply"".ecoliSHORT_selac_GTR_none",1.22,1.09615384615385,0.981481481481482,0.5625,0.113333333333333,0.122,0.122,0.109615384615385,0.0981481481481482,0.465,0.116333333333333,0.1436,1012.64,1007.01923076923,997.851851851852,117.3125,93.5633333333333,81.908,99.668,99.6630769230769,99.6577777777778,97.05375,96.388,95.8656,13598.568,12710.2230769231,12618.7703703704,2914.125,16204.2833333333,13790.1
"""FUN"".ecoliSHORT_selac_GTR_none",0.94,0.75,0.725,0.760869565217391,0.671666666666667,0.706666666666667,0.094,0.075,0.0725,0.630434782608696,0.693666666666667,0.829,1013.78,1007.07692307692,996.875,117.586956521739,93.7883333333333,82.0383333333333,99.6956,99.6838461538462,99.6675,97.425652173913,96.6183333333333,96.115,13611.92,12704.4384615385,12628.51,2893.69130434783,16245.6933333333,13939.2233333333
"""force"".ecoliSHORT_selac_GTR_none",,0.5,,0.5,0.05,0.075,,0.05,,0.415,0.05,0.09,,1007.5,,121,96,85.375,,100,,100,100,100,,12604.4,,2897.6,16831.4,14536.85
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_GTR_none",,1.64285714285714,1.66666666666667,0.666666666666667,0.0708333333333333,0.071875,,0.163928571428571,0.166666666666667,0.554,0.0716666666666667,0.085625,,965.910714285714,964.25,102.233333333333,78.1541666666667,66.65625,,95.6325,96.348,84.73,81.2641666666667,78.63,,11388.5964285714,11711.9066666667,2238.52,12760.9333333333,10538.96875
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_GTR_none",929.883333333333,,,,,,91.4926666666667,,,,,,965.65,,,,,,95.0126666666667,,,,,,12278.6166666667,,,,,
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_GTR_none",,929.6,929.633333333333,0.6,,,,92.065,92.8886666666667,0.498,,,,959.516666666667,958.683333333333,101.533333333333,,,,95.027,95.7913333333333,84.0993333333333,,,,11314.27,11647.97,2224.17333333333,,
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_GTR_none",,,,12.1333333333333,,,,,,10.0426666666667,,,,,,98.7833333333333,,,,,,81.7533333333333,,,,,,2197.34333333333,,
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_none",0.5,0.5,0.5,0.5,0.0729166666666667,0.075,0.05,0.05,0.05,0.41,0.0741666666666667,0.0890909090909091,530.666666666667,525,523.875,59.6666666666667,46.3229166666667,39.9909090909091,52.28,52.17,52.0175,49.04,47.615,46.9668181818182,7277.6,6714.2,6611.55,1493.16666666667,8283.82916666667,6995.52727272727
